Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Malafama Teatro - 'House of Bernarda' - Director: Daniel Abril Ospina, Colombia",10/28/2022,08:00 PM,10/28/2022,09:30 PM,False,"Teatro
30k
Tras la muerte de su segundo esposo, Bernarda Alba se recluye e impone un luto riguroso y asfixiante por ocho años, aislando del mundo exterior a sus cinco hijas. Cuando Angustias, la primogénita y la única hija del primer marido, hereda una fortuna, atrae a un pretendiente mucho menor, Pepe el Romano, desatando una tormenta al interior de esta familia. En esta versión se entabla un diálogo entre el universo drag y una de las obras más representativas de Federico García Lorca: ‘La casa de Bernarda Alba’. Malafama Teatro, Colombia La compañía Malafama Teatro se formó en 2018 con el nombre de Teatro El Despecho, alrededor del montaje ‘Club suicida busca…’ de Pedro Miguel Rozo y fue ganadora de la Beca Expresarte 2020 del Ministerio de Cultura y de la Beca Expresarte 2021 de Idartes. RepartoRicardo Vesga Fernando Ospina Nicolás Moreno Santiago Villegas Manuel Astaiza Mateo Herrera Julián Barragán Nicolás Vargas Daniel Abril",Teatro Estudio,False
"Malafama Teatro - 'House of Bernarda' - Director: Daniel Abril Ospina, Colombia",10/29/2022,08:00 PM,10/29/2022,09:30 PM,False,"Teatro
30k
Tras la muerte de su segundo esposo, Bernarda Alba se recluye e impone un luto riguroso y asfixiante por ocho años, aislando del mundo exterior a sus cinco hijas. Cuando Angustias, la primogénita y la única hija del primer marido, hereda una fortuna, atrae a un pretendiente mucho menor, Pepe el Romano, desatando una tormenta al interior de esta familia. En esta versión se entabla un diálogo entre el universo drag y una de las obras más representativas de Federico García Lorca: ‘La casa de Bernarda Alba’. Malafama Teatro, Colombia La compañía Malafama Teatro se formó en 2018 con el nombre de Teatro El Despecho, alrededor del montaje ‘Club suicida busca…’ de Pedro Miguel Rozo y fue ganadora de la Beca Expresarte 2020 del Ministerio de Cultura y de la Beca Expresarte 2021 de Idartes. RepartoRicardo Vesga Fernando Ospina Nicolás Moreno Santiago Villegas Manuel Astaiza Mateo Herrera Julián Barragán Nicolás Vargas Daniel Abril",Teatro Estudio,False
Festival FAICP,12/16/2022,08:00 PM,12/16/2022,10:00 PM,False,"Teatro
0
El Festival Artístico Internacional Invasión de Cultura Popular “Carnaval de la Alegría” (FAICP) se ha consolidado como un evento metropolitano de cultura y arte de transformación social de Bogotá. Fue declarado patrimonio cultural vivo de la nación a través de la Ley 1040 de 2006.El FAICP ofrece un mes de programación de teatro, música, danza, circo, literatura y arte en distintos escenarios de la capital de Colombia. Participan múltiples compañías nacionales y de otros países de América Latina y de Europa.",Teatro Estudio,False
Festival FAICP,12/17/2022,08:00 PM,12/17/2022,10:00 PM,False,"Teatro
0
El Festival Artístico Internacional Invasión de Cultura Popular “Carnaval de la Alegría” (FAICP) se ha consolidado como un evento metropolitano de cultura y arte de transformación social de Bogotá. Fue declarado patrimonio cultural vivo de la nación a través de la Ley 1040 de 2006.El FAICP ofrece un mes de programación de teatro, música, danza, circo, literatura y arte en distintos escenarios de la capital de Colombia. Participan múltiples compañías nacionales y de otros países de América Latina y de Europa.",Teatro Estudio,False
La prueba de la existencia de Dios,10/21/2022,08:00 PM,10/21/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,10/22/2022,08:00 PM,10/22/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,10/28/2022,08:00 PM,10/28/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,10/29/2022,08:00 PM,10/29/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/04/2022,08:00 PM,11/04/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/05/2022,08:00 PM,11/05/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/11/2022,08:00 PM,11/11/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/12/2022,08:00 PM,11/12/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/18/2022,08:00 PM,11/18/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/19/2022,08:00 PM,11/19/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/25/2022,08:00 PM,11/25/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,11/26/2022,08:00 PM,11/26/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,12/02/2022,08:00 PM,12/02/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
La prueba de la existencia de Dios,12/03/2022,08:00 PM,12/03/2022,09:30 PM,False,"Teatro
60k
La prueba de la existencia de DiosUna vez más el reconocido comediante Primo Rojas, nos sorprende con su imaginación, creatividad y profundo sentido del humor con el estreno de su comedia La prueba de la existencia de Dios.La prueba de la existencia de Dios es un homenaje a la recursividad de los colombianos para enfrentar la adversidad. El típico personaje popular astuto, recursivo y en cierto sentido, bribón cuenta una historia retorcida, forzada, traída de los pelos, en la que logra probar la existencia de Dios. Se trata de un divertimento popular al alcance de todas las personas, en el que el público experimenta una constante explosión de risa. Es lo que pudiéramos llamar un divertidísimo absurdo colombiano.Esta obra de Primo Rojas es una sátira al poder elitista de los círculos académicos más retrógrados y anquilosados, y un homenaje, cómo no, a la creatividad popular, en el que se logra un encuentro entre la llamada alta cultura y la cultura popular y se genera una simbiosis, una contribución que difumina la frontera entre el arte y el entretenimiento.","Casa E Borrero, Sala Arlequín",False
